ID_code,AC(v8.5),AH(v8.5),AT(v8.5)
B2_R_L1_DS_E_0.2_0.8_TS2,2943.6,758.07,3701.67
B2_R_L1_DS_E_0.2_2.3_TS2,3339.43,738.91,4078.3399999999997
B2_R_L1_DS_E_0.6_0.8_TS2,3351.29,723.37,4074.66
B2_R_L1_DS_E_0.6_2.3_TS2,4162.35,702.91,4865.26
B2_R_L1_DS_S_0.2_0.8_TS2,3162.93,859.57,4022.5
B2_R_L1_DS_S_0.2_2.3_TS2,3619.13,854.94,4474.07
B2_R_L1_DS_S_0.6_0.8_TS2,3550.17,829.79,4379.96
B2_R_L1_DS_S_0.6_2.3_TS2,4358.21,804.36,5162.57
B2_R_L1_DS_W_0.2_0.8_TS2,2946.34,755.8,3702.1400000000003
B2_R_L1_DS_W_0.2_2.3_TS2,3209.55,748.08,3957.63
B2_R_L1_DS_W_0.6_0.8_TS2,3259.55,730.93,3990.48
B2_R_L1_DS_W_0.6_2.3_TS2,3730.94,712.06,4443.0
B2_R_L2_DS_E_0.2_0.8_TS2,875.0,5486.41,6361.41
B2_R_L2_DS_E_0.2_1.0_TS2,865.63,5515.01,6380.64
B2_R_L2_DS_E_0.6_0.8_TS2,1115.45,5362.06,6477.51
B2_R_L2_DS_E_0.6_1.0_TS2,1089.89,5427.62,6517.51
B2_R_L2_DS_S_0.2_0.8_TS2,955.95,5513.63,6469.58
B2_R_L2_DS_S_0.2_1.0_TS2,946.7,5543.71,6490.41
B2_R_L2_DS_S_0.6_0.8_TS2,1200.49,5322.74,6523.23
B2_R_L2_DS_S_0.6_1.0_TS2,1175.37,5386.81,6562.18
B2_R_L2_DS_W_0.2_0.8_TS2,848.1,5456.46,6304.56
B2_R_L2_DS_W_0.2_1.0_TS2,839.52,5486.6,6326.120000000001
B2_R_L2_DS_W_0.6_0.8_TS2,1031.99,5340.36,6372.349999999999
B2_R_L2_DS_W_0.6_1.0_TS2,1009.45,5407.57,6417.0199999999995
B2_R_L1_MW_E_0.2_0.8_TS2,2788.85,824.4,3613.25
B2_R_L1_MW_E_0.2_0.8_TS3,2783.96,823.57,3607.53
B2_R_L1_MW_E_0.2_2.3_TS2,2749.22,836.39,3585.6099999999997
B2_R_L1_MW_E_0.2_2.3_TS3,2738.39,841.78,3580.17
B2_R_L1_MW_E_0.6_0.8_TS2,3045.91,770.49,3816.3999999999996
B2_R_L1_MW_E_0.6_0.8_TS3,2968.93,772.37,3741.2999999999997
B2_R_L1_MW_E_0.6_2.3_TS2,2956.95,799.4,3756.35
B2_R_L1_MW_E_0.6_2.3_TS3,2880.55,811.29,3691.84
B2_R_L1_MW_S_0.2_0.8_TS2,2930.61,902.32,3832.9300000000003
B2_R_L1_MW_S_0.2_0.8_TS3,2875.28,918.66,3793.94
B2_R_L1_MW_S_0.2_2.3_TS2,2922.29,914.7,3836.99
B2_R_L1_MW_S_0.2_2.3_TS3,2895.84,924.52,3820.36
B2_R_L1_MW_S_0.6_0.8_TS2,3166.15,853.66,4019.81
B2_R_L1_MW_S_0.6_0.8_TS3,3036.88,885.14,3922.02
B2_R_L1_MW_S_0.6_2.3_TS2,3121.06,870.33,3991.39
B2_R_L1_MW_S_0.6_2.3_TS3,3023.05,908.54,3931.59
B2_R_L1_MW_W_0.2_0.8_TS2,2878.72,817.21,3695.93
B2_R_L1_MW_W_0.2_0.8_TS3,2837.37,822.9,3660.27
B2_R_L1_MW_W_0.2_2.3_TS2,2882.93,830.42,3713.35
B2_R_L1_MW_W_0.2_2.3_TS3,2838.19,833.61,3671.8
B2_R_L1_MW_W_0.6_0.8_TS2,3117.82,768.38,3886.2000000000003
B2_R_L1_MW_W_0.6_0.8_TS3,2999.62,783.25,3782.87
B2_R_L1_MW_W_0.6_2.3_TS2,3081.57,800.39,3881.96
B2_R_L1_MW_W_0.6_2.3_TS3,2988.66,815.37,3804.0299999999997
B2_R_L2_MW_E_0.2_0.8_TS2,770.39,5476.65,6247.04
B2_R_L2_MW_E_0.2_0.8_TS3,762.08,5475.98,6238.0599999999995
B2_R_L2_MW_E_0.2_1.0_TS2,769.34,5496.42,6265.76
B2_R_L2_MW_E_0.2_1.0_TS3,758.48,5492.28,6250.76
B2_R_L2_MW_E_0.6_0.8_TS2,960.15,5318.07,6278.219999999999
B2_R_L2_MW_E_0.6_0.8_TS3,906.22,5320.34,6226.56
B2_R_L2_MW_E_0.6_1.0_TS2,951.65,5380.34,6331.99
B2_R_L2_MW_E_0.6_1.0_TS3,888.05,5371.36,6259.41
B2_R_L2_MW_S_0.2_0.8_TS2,822.61,5471.86,6294.469999999999
B2_R_L2_MW_S_0.2_0.8_TS3,805.36,5485.64,6291.0
B2_R_L2_MW_S_0.2_1.0_TS2,825.06,5490.65,6315.709999999999
B2_R_L2_MW_S_0.2_1.0_TS3,801.75,5502.69,6304.44
B2_R_L2_MW_S_0.6_0.8_TS2,999.18,5219.65,6218.83
B2_R_L2_MW_S_0.6_0.8_TS3,935.15,5281.19,6216.339999999999
B2_R_L2_MW_S_0.6_1.0_TS2,996.24,5274.65,6270.889999999999
B2_R_L2_MW_S_0.6_1.0_TS3,923.19,5334.05,6257.24
B2_R_L2_MW_W_0.2_0.8_TS2,771.5,5459.58,6231.08
B2_R_L2_MW_W_0.2_0.8_TS3,758.42,5454.86,6213.28
B2_R_L2_MW_W_0.2_1.0_TS2,776.34,5477.1,6253.4400000000005
B2_R_L2_MW_W_0.2_1.0_TS3,755.52,5471.94,6227.459999999999
B2_R_L2_MW_W_0.6_0.8_TS2,935.86,5300.46,6236.32
B2_R_L2_MW_W_0.6_0.8_TS3,879.95,5304.84,6184.79
B2_R_L2_MW_W_0.6_1.0_TS2,935.73,5361.76,6297.49
B2_R_L2_MW_W_0.6_1.0_TS3,868.75,5355.69,6224.44
B2_R_L1_ST_E_0.2_0.8_TS2,2752.65,753.13,3505.78
B2_R_L1_ST_E_0.2_0.8_TS3,2762.37,753.47,3515.84
B2_R_L1_ST_E_0.2_2.3_TS2,2782.35,820.49,3602.84
B2_R_L1_ST_E_0.2_2.3_TS3,2799.05,814.66,3613.71
B2_R_L1_ST_E_0.6_0.8_TS2,2831.57,712.45,3544.0200000000004
B2_R_L1_ST_E_0.6_0.8_TS3,2851.51,721.91,3573.42
B2_R_L1_ST_E_0.6_2.3_TS2,2813.87,777.76,3591.63
B2_R_L1_ST_E_0.6_2.3_TS3,2849.07,781.66,3630.73
B2_R_L1_ST_S_0.2_0.8_TS2,2940.58,867.26,3807.84
B2_R_L1_ST_S_0.2_0.8_TS3,2953.07,874.58,3827.65
B2_R_L1_ST_S_0.2_2.3_TS2,2955.23,906.87,3862.1
B2_R_L1_ST_S_0.2_2.3_TS3,2976.59,915.97,3892.5600000000004
B2_R_L1_ST_S_0.6_0.8_TS2,3014.19,838.31,3852.5
B2_R_L1_ST_S_0.6_0.8_TS3,3042.38,848.95,3891.33
