ID_code,AC(v22.2)
B2_O_L1_MW_W_0.6_0.8_TS2,2938.497114268087
B2_O_L1_MW_W_0.6_0.8_TS3,2818.940873800908
B2_O_L1_MW_W_0.6_2.3_TS2,2903.1979631834697
B2_O_L1_MW_W_0.6_2.3_TS3,2786.1919612014867
B2_R_L1_MW_E_0.2_0.8_TS2,2793.1917977643443
B2_R_L1_MW_E_0.2_0.8_TS3,2788.6031721712725
B2_R_L1_MW_E_0.2_2.3_TS2,2756.649157356434
B2_R_L1_MW_E_0.2_2.3_TS3,2742.9348171712986
B2_R_L1_MW_E_0.6_0.8_TS2,3050.977703950844
B2_R_L1_MW_E_0.6_0.8_TS3,2973.3032321706005
B2_R_L1_MW_E_0.6_2.3_TS2,2959.452516991012
B2_R_L1_MW_E_0.6_2.3_TS3,2884.9770933977024
B2_R_L1_MW_S_0.2_0.8_TS2,2935.736327860294
B2_R_L1_MW_S_0.2_0.8_TS3,2880.6316573929184
B2_R_L1_MW_S_0.2_2.3_TS2,2927.34735149072
B2_R_L1_MW_S_0.2_2.3_TS3,2900.824480055429
B2_R_L1_MW_S_0.6_0.8_TS2,3167.88268615029
B2_R_L1_MW_S_0.6_0.8_TS3,3039.492116668083
B2_R_L1_MW_S_0.6_2.3_TS2,3125.1492573061864
B2_R_L1_MW_S_0.6_2.3_TS3,3025.7609615664533
B2_R_L1_MW_W_0.2_0.8_TS2,2883.7832738382144
B2_R_L1_MW_W_0.2_0.8_TS3,2841.141796817194
B2_R_L1_MW_W_0.2_2.3_TS2,2886.6564618542543
B2_R_L1_MW_W_0.2_2.3_TS3,2843.805407102682
B2_R_L1_MW_W_0.6_0.8_TS2,3120.612057993945
B2_R_L1_MW_W_0.6_0.8_TS3,3004.611244523246
B2_R_L1_MW_W_0.6_2.3_TS2,3084.870885216776
B2_R_L1_MW_W_0.6_2.3_TS3,2991.8260305370427
B2_O_L1_ST_E_0.2_0.8_TS2,2749.668411112987
B2_O_L1_ST_E_0.2_0.8_TS3,2752.6904082877018
B2_O_L1_ST_E_0.2_2.3_TS2,2741.7508747111506
B2_O_L1_ST_E_0.2_2.3_TS3,2750.389304643409
B2_O_L1_ST_E_0.6_0.8_TS2,2798.501585892635
B2_O_L1_ST_E_0.6_0.8_TS3,2805.5220038940065
B2_O_L1_ST_E_0.6_2.3_TS2,2784.1294902017626
B2_O_L1_ST_E_0.6_2.3_TS3,2797.8045343330205
B2_O_L1_ST_S_0.2_0.8_TS2,2826.2832857750736
B2_O_L1_ST_S_0.2_0.8_TS3,2828.6452568509026
B2_O_L1_ST_S_0.2_2.3_TS2,2811.258704543477
B2_O_L1_ST_S_0.2_2.3_TS3,2817.751530645549
B2_O_L1_ST_S_0.6_0.8_TS2,2874.240968286321
B2_O_L1_ST_S_0.6_0.8_TS3,2878.70082540256
B2_O_L1_ST_S_0.6_2.3_TS2,2855.335796280068
B2_O_L1_ST_S_0.6_2.3_TS3,2868.032640693049
B2_O_L1_ST_W_0.2_0.8_TS2,2747.9805269111216
