ID_code,AT(v22.2)
B2_R_L1_MW_W_0.2_0.8_TS3,3650.687815040297
B2_R_L1_MW_W_0.2_2.3_TS2,3702.600258680973
B2_R_L1_MW_W_0.2_2.3_TS3,3661.875823501454
B2_R_L1_MW_W_0.6_0.8_TS2,3874.7649449998107
B2_R_L1_MW_W_0.6_0.8_TS3,3775.9319496318503
B2_R_L1_MW_W_0.6_2.3_TS2,3868.4767248239195
B2_R_L1_MW_W_0.6_2.3_TS3,3788.894001822201
B2_O_L1_ST_E_0.2_0.8_TS2,3519.6700315668977
B2_O_L1_ST_E_0.2_0.8_TS3,3514.229015182346
B2_O_L1_ST_E_0.2_2.3_TS2,3588.1858853500426
B2_O_L1_ST_E_0.2_2.3_TS3,3586.9503343873575
B2_O_L1_ST_E_0.6_0.8_TS2,3501.081929292837
B2_O_L1_ST_E_0.6_0.8_TS3,3505.185633959608
B2_O_L1_ST_E_0.6_2.3_TS2,3585.371782635021
B2_O_L1_ST_E_0.6_2.3_TS3,3584.9550428982093
B2_O_L1_ST_S_0.2_0.8_TS2,3607.6670248494343
B2_O_L1_ST_S_0.2_0.8_TS3,3607.88548615577
B2_O_L1_ST_S_0.2_2.3_TS2,3662.671200492565
B2_O_L1_ST_S_0.2_2.3_TS3,3658.9450921326284
B2_O_L1_ST_S_0.6_0.8_TS2,3596.4210643122424
B2_O_L1_ST_S_0.6_0.8_TS3,3602.91344718465
B2_O_L1_ST_S_0.6_2.3_TS2,3637.133725621646
B2_O_L1_ST_S_0.6_2.3_TS3,3665.4272182709683
B2_O_L1_ST_W_0.2_0.8_TS2,3489.1293525818583
B2_O_L1_ST_W_0.2_0.8_TS3,3488.5804069841647
B2_O_L1_ST_W_0.2_2.3_TS2,3556.788495374394
B2_O_L1_ST_W_0.2_2.3_TS3,3551.9125853930445
B2_O_L1_ST_W_0.6_0.8_TS2,3483.6695485106875
B2_O_L1_ST_W_0.6_0.8_TS3,3489.1397965106494
B2_O_L1_ST_W_0.6_2.3_TS2,3560.344020288939
B2_O_L1_ST_W_0.6_2.3_TS3,3570.370661494615
B2_R_L1_ST_E_0.2_0.8_TS2,3495.6745978802683
B2_R_L1_ST_E_0.2_0.8_TS3,3505.0317359742735
B2_R_L1_ST_E_0.2_2.3_TS2,3558.841739450201
B2_R_L1_ST_E_0.2_2.3_TS3,3572.3790008654596
B2_R_L1_ST_E_0.6_0.8_TS2,3540.3858804909455
B2_R_L1_ST_E_0.6_0.8_TS3,3563.52595235736
B2_R_L1_ST_E_0.6_2.3_TS2,3580.2778867184898
B2_R_L1_ST_E_0.6_2.3_TS3,3619.5521609110356
B2_R_L1_ST_S_0.2_0.8_TS2,3800.9313177601234
B2_R_L1_ST_S_0.2_0.8_TS3,3820.6252775445364
B2_R_L1_ST_S_0.2_2.3_TS2,3838.3854009984034
B2_R_L1_ST_S_0.2_2.3_TS3,3858.5347817454035
B2_R_L1_ST_S_0.6_0.8_TS2,3844.8676627132472
B2_R_L1_ST_S_0.6_0.8_TS3,3883.8553337092767
B2_R_L1_ST_S_0.6_2.3_TS2,3840.5342576964795
B2_R_L1_ST_S_0.6_2.3_TS3,3916.8181878500545
B2_R_L1_ST_W_0.2_0.8_TS2,3625.005369753919
B2_R_L1_ST_W_0.2_0.8_TS3,3647.2046887611727
B2_R_L1_ST_W_0.2_2.3_TS2,3671.9333304239162
B2_R_L1_ST_W_0.2_2.3_TS3,3690.6763236847414
B2_R_L1_ST_W_0.6_0.8_TS2,3670.32360083611
B2_R_L1_ST_W_0.6_0.8_TS3,3706.67732947313
B2_R_L1_ST_W_0.6_2.3_TS2,3693.1877515112756
B2_R_L1_ST_W_0.6_2.3_TS3,3751.544221354903
