ID_code,AH(v22.2)
B2_O_L1_MW_E_0.6_0.8_TS3,803.3989536217233
B2_O_L1_MW_E_0.6_2.3_TS2,826.8871922386384
B2_O_L1_MW_E_0.6_2.3_TS3,832.600320755788
B2_O_L1_MW_S_0.2_0.8_TS2,849.3147550171335
B2_O_L1_MW_S_0.2_0.8_TS3,868.2741250288858
B2_O_L1_MW_S_0.2_2.3_TS2,863.1910372209421
B2_O_L1_MW_S_0.2_2.3_TS3,879.5381730034517
B2_O_L1_MW_S_0.6_0.8_TS2,779.5227488495935
B2_O_L1_MW_S_0.6_0.8_TS3,819.8725707688795
B2_O_L1_MW_S_0.6_2.3_TS2,806.8649214229378
B2_O_L1_MW_S_0.6_2.3_TS3,846.4958761476962
B2_O_L1_MW_W_0.2_0.8_TS2,821.4103897776733
B2_O_L1_MW_W_0.2_0.8_TS3,828.2209582255432
B2_O_L1_MW_W_0.2_2.3_TS2,835.6611073379364
B2_O_L1_MW_W_0.2_2.3_TS3,840.7103971208987
B2_O_L1_MW_W_0.6_0.8_TS2,764.4238508536357
B2_O_L1_MW_W_0.6_0.8_TS3,787.2474015063217
B2_O_L1_MW_W_0.6_2.3_TS2,799.4964200460611
B2_O_L1_MW_W_0.6_2.3_TS3,816.5049686014227
B2_R_L1_MW_E_0.2_0.8_TS2,809.3829530053816
B2_R_L1_MW_E_0.2_0.8_TS3,814.003569683354
B2_R_L1_MW_E_0.2_2.3_TS2,823.9098801461281
B2_R_L1_MW_E_0.2_2.3_TS3,824.620078348004
B2_R_L1_MW_E_0.6_0.8_TS2,750.2017719668721
B2_R_L1_MW_E_0.6_0.8_TS3,768.3337731914304
B2_R_L1_MW_E_0.6_2.3_TS2,784.0904399017498
B2_R_L1_MW_E_0.6_2.3_TS3,793.3513368683905
B2_R_L1_MW_S_0.2_0.8_TS2,895.3861340637177
B2_R_L1_MW_S_0.2_0.8_TS3,907.0176691881418
B2_R_L1_MW_S_0.2_2.3_TS2,903.1498547743499
B2_R_L1_MW_S_0.2_2.3_TS3,915.9055513027886
B2_R_L1_MW_S_0.6_0.8_TS2,843.5220734759033
B2_R_L1_MW_S_0.6_0.8_TS3,872.1749081804438
B2_R_L1_MW_S_0.6_2.3_TS2,860.5465398841188
B2_R_L1_MW_S_0.6_2.3_TS3,893.92746104408
B2_R_L1_MW_W_0.2_0.8_TS2,804.6124045803078
B2_R_L1_MW_W_0.2_0.8_TS3,809.5460182231033
B2_R_L1_MW_W_0.2_2.3_TS2,815.943796826719
B2_R_L1_MW_W_0.2_2.3_TS3,818.0704163987722
B2_R_L1_MW_W_0.6_0.8_TS2,754.1528870058658
