ID_code,AC(v8.5),diff%_AC(v8.5),AH(v8.5),diff%_AH(v8.5),AT(v8.5),diff%_AT(v8.5),AC(v8.7),diff%_AC(v8.7),AH(v8.7),diff%_AH(v8.7),AT(v8.7),diff%_AT(v8.7),AC(v22.2),diff%_AC(v22.2),AH(v22.2),diff%_AH(v22.2),AT(v22.2),diff%_AT(v22.2),DeltaAC%(v8.7-22.2),DeltaAH%(v8.7-22.2),DeltaAT%(v8.7-22.2)
B2_O_L2_DG_W_0.2_0.8_TS3,672.78,-1.56,3580.24,-5.36,4253.02,-4.78,670.98,-1.58,3577.94,-5.36,4248.92,-4.78,669.84,-1.66,3586.92,-5.5,4256.76,-4.92,-0.17,0.25,0.18
B2_O_L2_DG_W_0.2_1.0_TS2,646.1,-5.46,3729.54,-1.42,4375.64,-2.04,644.22,-5.51,3731.18,-1.3,4375.4,-1.95,643.07,-5.59,3740.49,-1.46,4383.56,-2.09,-0.18,0.25,0.19
B2_O_L2_DG_W_0.2_1.0_TS3,672.15,-1.65,3584.71,-5.25,4256.86,-4.7,670.29,-1.69,3590.46,-5.03,4260.75,-4.51,669.54,-1.7,3594.22,-5.31,4263.76,-4.76,-0.11,0.1,0.07
B2_O_L2_DG_W_0.6_0.8_TS2,689.96,0.95,3564.16,-5.79,4254.12,-4.76,688.42,0.97,3566.39,-5.66,4254.81,-4.65,687.64,0.95,3571.97,-5.9,4259.61,-4.85,-0.11,0.16,0.11
B2_O_L2_DG_W_0.6_0.8_TS3,718.79,5.17,3426.85,-9.42,4145.639999999999,-7.19,716.62,5.11,3430.19,-9.26,4146.81,-7.07,715.47,5.04,3432.48,-9.57,4147.95,-7.35,-0.16,0.07,0.03
B2_O_L2_DG_W_0.6_1.0_TS2,687.51,0.6,3588.99,-5.13,4276.5,-4.26,686.18,0.65,3589.38,-5.05,4275.56,-4.18,685.59,0.65,3600.4,-5.15,4285.99,-4.26,-0.09,0.31,0.24
B2_O_L2_DG_W_0.6_1.0_TS3,716.2,4.79,3456.49,-8.64,4172.69,-6.58,714.39,4.78,3454.16,-8.63,4168.55,-6.58,712.94,4.67,3460.07,-8.84,4173.01,-6.79,-0.2,0.17,0.11
B2_O_L1_DS_E_0.2_0.8_TS2,2831.06,3.45,771.86,-15.79,3602.92,-1.37,2828.08,3.42,770.58,-15.86,3598.66,-1.42,2830.43,3.36,764.11,-16.46,3594.54,-1.6,0.08,-0.84,-0.11
B2_O_L1_DS_E_0.2_2.3_TS2,2915.02,6.52,741.7,-19.08,3656.72,0.1,2911.04,6.45,739.64,-19.24,3650.68,0.01,2916.31,6.5,735.82,-19.56,3652.13,-0.03,0.18,-0.52,0.04
B2_O_L1_DS_E_0.6_0.8_TS2,3043.52,11.22,691.5,-24.56,3735.02,2.24,3041.79,11.23,694.27,-24.19,3736.06,2.35,3044.26,11.17,686.89,-24.9,3731.15,2.14,0.08,-1.06,-0.13
B2_O_L1_DS_E_0.6_2.3_TS2,3169.45,15.82,663.46,-27.61,3832.91,4.92,3163.46,15.68,664.87,-27.4,3828.33,4.87,3170.63,15.78,657.23,-28.15,3827.86,4.78,0.23,-1.15,-0.01
B2_O_L1_DS_S_0.2_0.8_TS2,2938.2,7.37,779.53,-14.95,3717.73,1.77,2935.51,7.35,779.45,-14.89,3714.96,1.77,2938.29,7.3,774.27,-15.35,3712.56,1.63,0.09,-0.66,-0.06
B2_O_L1_DS_S_0.2_2.3_TS2,3051.58,11.51,750.49,-18.12,3802.07,4.08,3047.77,11.45,749.02,-18.21,3796.79,4.01,3053.16,11.49,746.11,-18.43,3799.27,4.0,0.18,-0.39,0.07
B2_O_L1_DS_S_0.6_0.8_TS2,3119.52,14.0,690.36,-24.68,3809.88,4.29,3116.69,13.97,691.22,-24.52,3807.91,4.31,3118.7,13.89,686.07,-24.99,3804.77,4.15,0.06,-0.75,-0.08
