ID_code,DeltaAC%(v8.5-8.7),DeltaAH%(v8.5-8.7),DeltaAT%(v8.5-8.7),Use,Orient,Glass,Storage,Version
B2_R_L1_DS_E_0.2_0.8_TS2,-11.16,4.84,-8.3,1.0,1.0,0.0,1.0,1.0
B2_R_L1_DS_E_0.2_2.3_TS2,0.09,-0.58,-0.03,1.0,1.0,1.0,1.0,1.0
B2_R_L1_DS_E_0.6_0.8_TS2,-18.53,7.45,-14.87,1.0,1.0,0.0,1.0,1.0
B2_R_L1_DS_E_0.6_2.3_TS2,0.13,-0.56,0.03,1.0,1.0,1.0,1.0,1.0
B2_R_L1_DS_S_0.2_0.8_TS2,-11.58,2.49,-8.91,1.0,1.0,0.0,1.0,1.0
B2_R_L1_DS_S_0.2_2.3_TS2,0.1,0.36,0.15,1.0,1.0,1.0,1.0,1.0
B2_R_L1_DS_S_0.6_0.8_TS2,-17.81,6.41,-14.11,1.0,1.0,0.0,1.0,1.0
B2_R_L1_DS_S_0.6_2.3_TS2,0.1,0.26,0.13,1.0,1.0,1.0,1.0,1.0
B2_R_L1_DS_W_0.2_0.8_TS2,-8.11,3.34,-5.98,1.0,1.0,0.0,1.0,1.0
B2_R_L1_DS_W_0.2_2.3_TS2,0.11,-0.07,0.08,1.0,1.0,1.0,1.0,1.0
B2_R_L1_DS_W_0.6_0.8_TS2,-12.88,6.67,-9.85,1.0,1.0,0.0,1.0,1.0
B2_R_L1_DS_W_0.6_2.3_TS2,0.03,-0.78,-0.1,1.0,1.0,1.0,1.0,1.0
B2_R_L2_DS_E_0.2_0.8_TS2,-17.68,2.9,-0.52,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DS_E_0.2_1.0_TS2,-18.44,2.57,-0.9,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DS_E_0.6_0.8_TS2,-24.76,4.32,-2.19,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DS_E_0.6_1.0_TS2,-26.87,3.72,-3.06,1.0,1.0,0.0,1.0,1.0
